,name,cid_name,cas_name
0,"2,4,5-T",1480,93-76-5
1,"2,4-D",1486,94-75-7
2,"2,4-D-dimethylammonium",16180,2008-39-1
3,2-Diethylaminoethyl hexanoate,14795463,10369-83-2
4,3-hydroxycarbofuran,27975,16655-82-6
5,acephate,1982,30560-19-1
6,acetamiprid,213021,135410-20-7
7,acetochlor,1988,34256-82-1
8,acrinathrin,6436606,101007-06-1
9,aldicarb,9570071,116-06-3
10,aldoxycarb,9570093,1646-88-4
11,aldrin,12310947,309-00-2
12,alpha-cypermethrin,3086172,67375-30-8
13,alpha-endosulfan,"	12309460",959-98-8
14,aminocarb,16247,2032-59-9
15,amitraz,36324,33089-61-1
16,anabasine,205586,494-52-0
17,anilofos,91687,64249-01-0
18,aramite,8809,140-57-8
19,azimsulfuron,86355,120162-55-2
20,azinphos-methyl,2268,86-50-0
21,azoxystrobin,3034285,131860-33-8
22,benalaxyl,51369,71626-11-4
23,bendiocarb,2314,22781-23-3
24,benfuracarb,54886,82560-54-1
25,benodanil,27195,15310-01-7
26,benomyl,28780,17804-35-2
27,beta-cypermethrin,93357,65731-84-2
28,bifenthrin,10938769,82657-04-3
29,bitertanol,91656,55179-31-2
30,boscalid,213013,188425-85-6
31,bromopropylate,28936,18181-80-1
32,bromoxynil,15531,1689-84-5
33,bromoxynil octanoate,15533,1689-99-2
34,buprofezin,50367,69327-76-0
35,cadusafos,91752,95465-99-9
36,captan,8606,133-06-2
37,carbaryl,6129,63-25-2
38,carbendazim,25429,10605-21-7
39,carbofuran,2566,1563-66-2
40,carbophenothion,13081,786-19-6
41,carbosulfan,41384,55285-14-8
42,carfentrazone-ethyl,86222,128639-02-1
43,chinomethionat,17109,2439-01-2
44,chlorantraniliprole,11271640,500008-45-7
45,chlordimeform,22544,6164-98-3
46,chlorfenapyr,91778,122453-73-0
47,chlorfenson,6635,80-33-1
48,chlorfenvinphos,10107,470-90-6
49,chlorfluazuron,91708,71422-67-8
50,chlorimuron,91762,99283-00-8
51,chlormequat,13837,7003-89-6
52,chlorobenzilate,10522,510-15-6
53,chloroneb,17581,2675-77-6
54,chlorothalonil,15910,1897-45-6
55,chlorphoxim,5360461,14816-20-7
56,chlorpyrifos,2730,2921-88-2
57,chlorpyrifos-methyl,21803,5598-13-0
58,chlorsulfuron,47491,64902-72-3
59,chlozolinate,51574,84332-86-5
60,cinerin I,5281547,25402-06-6
61,cinerin II,5281548,121-20-0
62,clopyralid,15553,1702-17-6
63,clothianidin,213027,210880-92-5
64,cyanazine,30773,21725-46-2
65,cyanofenphos,25669,13067-93-1
66,cyanophos,17522,2636-26-2
67,cyantraniliprole,11578610,736994-63-1
68,cyazofamid,9862076,120116-88-3
69,cycloheximide,6197,66-81-9
70,cyfluthrin,104926,68359-37-5
71,cyhalofop-butyl,180089,122008-85-9
72,cyhalothrin,5281873,68085-85-8
73,cymoxanil,5364079,57966-95-7
74,cypermethrin,2912,52315-07-8
75,cyproconazole,86132,94361-06-5
76,cyprodinil,86367,121552-61-2
77,cyromazine,47866,66215-27-8
78,dalapon,6418,75-99-0
79,DDT,3036,50-29-3
80,deltamethrin,40585,52918-63-5
81,desmethylformamide pirimicarb,185602,27218-04-8
82,diafenthiuron,3034380,80060-09-9
83,dialifos,25146,10311-84-9
84,diazinon,3017,333-41-5
85,dicamba,3030,1918-00-9
86,dichlofluanid,14145,1085-98-9
87,dichlorvos,3039,62-73-7
88,diclofop-methyl,39985,51338-27-3
89,dicloran,7430,99-30-9
90,dicofol,8268,115-32-2
91,dieldrin,969491,60-57-1
92,diethofencarb,91742,87130-20-9
93,difenoconazole,86173,119446-68-3
94,diflubenzuron,37123,35367-38-5
95,dimefox,8264,115-26-4
96,dimetachlone,90363,24096-53-5
97,dimethoate,3082,60-51-5
98,dimethomorph,5889665,110488-70-5
99,diniconazole,6086269,83657-24-3
100,dinocap,5290882,19019-33-1
101,dinotefuran,197701,165252-70-0
102,dioxabenzophos,19657,3811-49-2
103,dioxathion,6531,78-34-2
