CAS #,substance name,plant name,temperature,compartment,"half life
[day]",target class,chemical class,plant class,compartment class,cold storage
93-76-5,"2,4,5-T",grass,24.6,leaf,8,herbicide,chlorophenoxy acid,weeds,crop surface,
93-76-5,"2,4,5-T",grass,24.6,leaf,9.6,herbicide,chlorophenoxy acid,weeds,crop surface,
93-76-5,"2,4,5-T",grass,24.6,leaf,14.7,herbicide,chlorophenoxy acid,weeds,crop surface,
94-75-7,"2,4-D",grass,24.6,leaf,3,herbicide,alkylchlorophenoxy,weeds,crop surface,
94-75-7,"2,4-D",grass,24.6,leaf,8.3,herbicide,alkylchlorophenoxy,weeds,crop surface,
94-75-7,"2,4-D",grass,24.6,leaf,8.8,herbicide,alkylchlorophenoxy,weeds,crop surface,
94-75-7,"2,4-D",orchard grass,20,leaf,2.4,herbicide,alkylchlorophenoxy,weeds,crop surface,
94-75-7,"2,4-D",timothy grass,22.1,leaf,1.1,herbicide,alkylchlorophenoxy,weeds,crop surface,
94-75-7,"2,4-D",turfgrass,16.6,leaf,13.08,herbicide,alkylchlorophenoxy,ornamentals,crop surface,
94-75-7,"2,4-D",wheat,22.2,straw,1,herbicide,alkylchlorophenoxy,cereals,crop surface,
94-75-7,"2,4-D",wheat,22.2,straw,1.05,herbicide,alkylchlorophenoxy,cereals,crop surface,
94-75-7,"2,4-D",wheat,22.2,straw,1.17,herbicide,alkylchlorophenoxy,cereals,crop surface,
2008-39-1,"2,4-D-dimethylammonium",wheat,22.2,straw,1.61,herbicide,alkylchlorophenoxy,cereals,crop surface,
2008-39-1,"2,4-D-dimethylammonium",wheat,22.2,straw,1.69,herbicide,alkylchlorophenoxy,cereals,crop surface,
2008-39-1,"2,4-D-dimethylammonium",wheat,22.2,straw,1.73,herbicide,alkylchlorophenoxy,cereals,crop surface,
2008-39-1,"2,4-D-dimethylammonium",wheat,22.2,straw,1.82,herbicide,alkylchlorophenoxy,cereals,crop surface,
10369-83-2,2-Diethylaminoethyl hexanoate,chinese cabbage,20.4,leaf,0.3,plant growth regulator,unclassified,leafy crops,crop surface,
10369-83-2,2-Diethylaminoethyl hexanoate,chinese cabbage,20.4,leaf,1.1,plant growth regulator,unclassified,leafy crops,crop surface,
10369-83-2,2-Diethylaminoethyl hexanoate,cotton,29.6,leaf,5.3,plant growth regulator,unclassified,other,crop surface,
10369-83-2,2-Diethylaminoethyl hexanoate,cotton,29.6,leaf,8.2,plant growth regulator,unclassified,other,crop surface,
10369-83-2,2-Diethylaminoethyl hexanoate,pakchoi,17.9,leaf,0.56,plant growth regulator,unclassified,leafy crops,crop surface,
10369-83-2,2-Diethylaminoethyl hexanoate,pakchoi,17.9,leaf,1.1,plant growth regulator,unclassified,leafy crops,crop surface,
10369-83-2,2-Diethylaminoethyl hexanoate,pakchoi,17.9,leaf,1.9,plant growth regulator,unclassified,leafy crops,crop surface,
